2023-06-17T23:37:47.766+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration ZonedDateTime -> org.hibernate.type.BasicTypeReference@66e341e9
2023-06-17T23:37:47.766+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.ZonedDateTime -> org.hibernate.type.BasicTypeReference@66e341e9
2023-06-17T23:37:47.766+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration ZonedDateTimeWithTimezone -> org.hibernate.type.BasicTypeReference@5b48f0f4
2023-06-17T23:37:47.766+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration ZonedDateTimeWithoutTimezone -> org.hibernate.type.BasicTypeReference@546ed2a0
2023-06-17T23:37:47.766+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration date -> org.hibernate.type.BasicTypeReference@5bfc79cb
2023-06-17T23:37:47.766+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.sql.Date -> org.hibernate.type.BasicTypeReference@5bfc79cb
2023-06-17T23:37:47.766+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration time -> org.hibernate.type.BasicTypeReference@27ec8754
2023-06-17T23:37:47.766+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.sql.Time -> org.hibernate.type.BasicTypeReference@27ec8754
2023-06-17T23:37:47.766+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration timestamp -> org.hibernate.type.BasicTypeReference@3bbf1c0d
2023-06-17T23:37:47.768+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.sql.Timestamp -> org.hibernate.type.BasicTypeReference@3bbf1c0d
2023-06-17T23:37:47.768+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.util.Date -> org.hibernate.type.BasicTypeReference@3bbf1c0d
2023-06-17T23:37:47.768+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration calendar -> org.hibernate.type.BasicTypeReference@19662208
2023-06-17T23:37:47.768+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.util.Calendar -> org.hibernate.type.BasicTypeReference@19662208
2023-06-17T23:37:47.768+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.util.GregorianCalendar -> org.hibernate.type.BasicTypeReference@19662208
2023-06-17T23:37:47.768+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration calendar_date -> org.hibernate.type.BasicTypeReference@216c22ce
2023-06-17T23:37:47.768+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration calendar_time -> org.hibernate.type.BasicTypeReference@62f9c790
2023-06-17T23:37:47.768+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration instant -> org.hibernate.type.BasicTypeReference@21e5f0b6
2023-06-17T23:37:47.768+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.Instant -> org.hibernate.type.BasicTypeReference@21e5f0b6
2023-06-17T23:37:47.768+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration uuid -> org.hibernate.type.BasicTypeReference@93bf0e0
2023-06-17T23:37:47.768+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.util.UUID -> org.hibernate.type.BasicTypeReference@93bf0e0
2023-06-17T23:37:47.768+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration pg-uuid -> org.hibernate.type.BasicTypeReference@93bf0e0
2023-06-17T23:37:47.768+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration uuid-binary -> org.hibernate.type.BasicTypeReference@4981d95b
2023-06-17T23:37:47.768+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration uuid-char -> org.hibernate.type.BasicTypeReference@656842bc
2023-06-17T23:37:47.768+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration class -> org.hibernate.type.BasicTypeReference@6b867ee7
2023-06-17T23:37:47.769+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Class -> org.hibernate.type.BasicTypeReference@6b867ee7
2023-06-17T23:37:47.769+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration currency -> org.hibernate.type.BasicTypeReference@3dec3f87
2023-06-17T23:37:47.769+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration Currency -> org.hibernate.type.BasicTypeReference@3dec3f87
2023-06-17T23:37:47.769+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.util.Currency -> org.hibernate.type.BasicTypeReference@3dec3f87
2023-06-17T23:37:47.769+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration locale -> org.hibernate.type.BasicTypeReference@7a606260
2023-06-17T23:37:47.769+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.util.Locale -> org.hibernate.type.BasicTypeReference@7a606260
2023-06-17T23:37:47.770+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration serializable -> org.hibernate.type.BasicTypeReference@5dbab232
2023-06-17T23:37:47.770+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.io.Serializable -> org.hibernate.type.BasicTypeReference@5dbab232
2023-06-17T23:37:47.770+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration timezone -> org.hibernate.type.BasicTypeReference@5939e24
2023-06-17T23:37:47.770+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.util.TimeZone -> org.hibernate.type.BasicTypeReference@5939e24
2023-06-17T23:37:47.770+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration ZoneOffset -> org.hibernate.type.BasicTypeReference@595f9916
2023-06-17T23:37:47.770+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.ZoneOffset -> org.hibernate.type.BasicTypeReference@595f9916
2023-06-17T23:37:47.770+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration url -> org.hibernate.type.BasicTypeReference@2055833f
2023-06-17T23:37:47.770+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.net.URL -> org.hibernate.type.BasicTypeReference@2055833f
2023-06-17T23:37:47.770+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration row_version -> org.hibernate.type.BasicTypeReference@28768e25
2023-06-17T23:37:47.772+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration object -> org.hibernate.type.JavaObjectType@3f5dfe69
2023-06-17T23:37:47.773+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Object -> org.hibernate.type.JavaObjectType@3f5dfe69
2023-06-17T23:37:47.774+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration null -> org.hibernate.type.NullType@4fb64a52
2023-06-17T23:37:47.774+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration imm_date -> org.hibernate.type.BasicTypeReference@70b48eb3
2023-06-17T23:37:47.774+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration imm_time -> org.hibernate.type.BasicTypeReference@7b8ea1db
2023-06-17T23:37:47.774+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration imm_timestamp -> org.hibernate.type.BasicTypeReference@a91119b
2023-06-17T23:37:47.774+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration imm_calendar -> org.hibernate.type.BasicTypeReference@77083e41
2023-06-17T23:37:47.774+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration imm_calendar_date -> org.hibernate.type.BasicTypeReference@231df705
2023-06-17T23:37:47.774+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration imm_calendar_time -> org.hibernate.type.BasicTypeReference@2d130ac4
2023-06-17T23:37:47.774+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration imm_binary -> org.hibernate.type.BasicTypeReference@2f0ccb34
2023-06-17T23:37:47.774+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration imm_serializable -> org.hibernate.type.BasicTypeReference@194012a2
2023-06-17T23:37:47.784+09:00  INFO 2393 --- [Test worker] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2023-06-17T23:37:48.841+09:00 ERROR 2393 --- [Test worker] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Exception during pool initialization.

com.mysql.cj.jdbc.exceptions.CommunicationsException: Communications link failure

The last packet sent successfully to the server was 0 milliseconds ago. The driver has not received any packets from the server.
	at com.mysql.cj.jdbc.exceptions.SQLError.createCommunicationsException(SQLError.java:175) ~[mysql-connector-j-8.0.33.jar:8.0.33]
	at com.mysql.cj.jdbc.exceptions.SQLExceptionsMapping.translateException(SQLExceptionsMapping.java:64) ~[mysql-connector-j-8.0.33.jar:8.0.33]
	at com.mysql.cj.jdbc.ConnectionImpl.createNewIO(ConnectionImpl.java:825) ~[mysql-connector-j-8.0.33.jar:8.0.33]
	at com.mysql.cj.jdbc.ConnectionImpl.<init>(ConnectionImpl.java:446) ~[mysql-connector-j-8.0.33.jar:8.0.33]
	at com.mysql.cj.jdbc.ConnectionImpl.getInstance(ConnectionImpl.java:239) ~[mysql-connector-j-8.0.33.jar:8.0.33]
	at com.mysql.cj.jdbc.NonRegisteringDriver.connect(NonRegisteringDriver.java:188) ~[mysql-connector-j-8.0.33.jar:8.0.33]
	at com.zaxxer.hikari.util.DriverDataSource.getConnection(DriverDataSource.java:138) ~[HikariCP-5.0.1.jar:na]
	at com.zaxxer.hikari.pool.PoolBase.newConnection(PoolBase.java:359) ~[HikariCP-5.0.1.jar:na]
	at com.zaxxer.hikari.pool.PoolBase.newPoolEntry(PoolBase.java:201) ~[HikariCP-5.0.1.jar:na]
